拠	據	てへん キョ きょ て こ よる コ
挙	擧	てへん キョ きょ て あげる こぞる あがる
虚	虛	とらかんむり うつろ キョ きょ コ こ むなしい とらがしら
許		ゆるす キョ きょ ことば もと げん ゲン ごんべん
距		キョ きょ へだたる あし けづめ あしへん
魚		さかな ギョ ぎょ うおへん ざかな うお
御		ゴ おん ギョ ご ぎょ お ぎょうにんべん み
漁		さんずい したみず ギョ リョウ ぎょ りょう みず あさる
凶		キョウ かんにょう きょう うけばこ
共		はちがしら はち キョウ とも ども ともに ハチ きょう
叫		くちへん さけぶ キョウ くち きょう
狂		くるう キョウ いぬ きょう けものへん くるおしい
京		けい けいさんかんむり けさんかんむり キョウ みやこ きん なべぶた きょう ケイ キン
享		うける けいさんかんむり コウ けさんかんむり キョウ なべぶた きょう こう
供		そなえる ひと クウ キョウ にんべん ク とも くう グ ども ひとがしら ぐ ひとやね きょう く
協		じゅう キョウ きょう ジュウ
況		さんずい キョウ おもむき したみず いわんや まして みず きょう
峡	峽	はざま やまへん コウ キョウ やま きょう こう
挟	挾	てへん さしはさむ て キョウ はさむ わきばさむ しょう はさまる きょう ショウ
狭	狹	コウ せばめる キョウ いぬ せばまる せまい さ きょう こう けものへん
恐		こころ こわがる おそる したごころ おそれる キョウ おそろしい こわい りっしんべん きょう
恭		こころ したごころ うやうやしい キョウ りっしんべん きょう
胸		ニク キョウ にく むな きょう にくづき むね
脅		にくづき ニク キョウ おどす おびやかす にく きょう おどかす
強		つよい つよめる キョウ しいる ゆみへん ごう ゴウ こわい つよまる きょう ゆみ
教		きょう ぼくにょう キョウ おそわる とまた おしえる のぶん ぼくづくり しぶん
郷	鄕	キョウ おおざと さと ごう ゴウ むら きょう
境		けい さかい キョウ つちへん きょう つち ケイ
橋		キョウ きへん はし き きょう
矯		キョウ や やへん きょう ためる
鏡		けい かがみ キョウ かねへん かね きょう ケイ
競		けい きそう キョウ たつ せる くらべる たつへん きょう ケイ
響	響	キョウ おとへん おと ひびく きょう
驚		うま キョウ おどろく うまへん きょう おどろかす
仰		ひと コウ ギョウ おおせ にんべん あおぐ ひとがしら ひとやね こう おっしゃる ぎょう
暁	曉	さとる ギョウ キョウ ひへん ひ にちへん あかつき きょう にち ぎょう
業		ギョウ わざ ごう きへん ゴウ き ぎょう
凝		こらす ギョウ こる こごらす にすい こごらせる こごる ぎょう
曲		きょく まげる ひらび くま いわく まがる キョク
局		きょく つぼね かばねだれ しかばねかんむり キョク しかばね かばね
極		きめる きょく きわまる ぎめ きへん きわまり キョク ごく き ゴク きわみ きわめる きまる
玉		おうへん だま たま ギョク ぎょく たまへん
巾		はば ちきり ふく きんべん きん フク はばへん おおい きんへん きれ キン
斤		おのづくり キン きん おの
均		つちへん ならす きん つち キン
近		コン ちかい こん きん しんにゅう しんにょう キン
金		コン かな こん きん かねへん かね がね ごん ゴン キン
菌		キン くさかんむり きん くさ そうこう
勤	勤	つとまる きん ちから いそしむ つとめる ごん づとめ ゴン キン
琴		おうへん こと きん たま ごん たまへん ゴン キン
筋		すじ たけ たけかんむり きん キン
僅		ひと にんべん きん ひとがしら わずか ひとやね ごん ゴン キン
禁		ねへん しめすへん きん しめす キン
緊		いと しめる しまる きん いとへん キン
錦		にしき きん かねへん かね キン
謹	謹	きん ことば つつしむ げん ゲン ごんべん キン
襟		キン ころもへん きん えり ころも
吟		くちへん ぎん くち ギン
銀		ギン しろがね ぎん かねへん かね
区	區	オウ コウ ク おう く こう かくしがまえ
句		ク くちへん く くち
苦		ぐるしい にがい くさかんむり ク くるしい にがる くさ くるしむ く くるしめる そうこう
駆	驅	うま ク かける かる うまへん く
具		そなえる つぶさに はちがしら はち グ ぐ ハチ
惧		こころ おそれる したごころ ク グ ぐ りっしんべん く
愚		こころ したごころ おろか グ ぐ りっしんべん
空		あなかんむり クウ あき あな くう むなしい すかす あく そら から すく あける
偶		ひと グウ にんべん ぐう たま ひとがしら ひとやね
遇		あう グウ しんにゅう ぐう しんにょう
隅		グウ ぐう こざとへん おか すみ
串		たてぼう セン つらぬく カン ぼう くし かん せん ケン けん
屈		かがむ かがめる くつ かばねだれ しかばねかんむり しかばね クツ かばね
掘		てへん て くつ クツ ほる
窟		いはや あなかんむり いわや くつ こつ あな コツ クツ
熊		ユウ れんが くま ひへん ひ ゆう れっか
繰		いと そう ソウ くる いとへん
君		くん くちへん ぎみ くち きみ クン
訓		くん くんずる きん ことば よむ ゲン げん ごんべん おしえる クン キン
勲	勳	ちから くん いさお クン
薫	薰	くん かおる くさかんむり くさ クン そうこう
軍		いくさ くるま ぐん グン くるまへん
郡		おおざと こおり ぐん グン むら
群		ぐん グン ひつじへん むら むれ むれる むらがる ひつじ
兄		けい キョウ にんにょう ひとあし あに きょう ケイ
刑		かたな りっとう ケイ けい
形		けい さんづくり かたち ギョウ なり かみかざり けかざり かた がた ケイ ぎょう
系		けい いとへん いと ケイ
径	徑	けい ただちに みち さしわたし こみち ぎょうにんべん ケイ
茎	莖	けい キョウ くさかんむり くさ くき きょう ケイ そうこう
係		けい ひと にんべん がかり かかわる かかり ひとがしら かかる ひとやね ケイ
型		けい つち かた ケイ つちへん がた
契		けい だいかしら だいかんむり だい ダイ ちぎる ケイ
計		けい はかる ことば げん ゲン ごんべん はからう ケイ
恵	惠	けい こころ めぐみ したごころ エ めぐむ りっしんべん え ケイ
啓		けい くちへん さとす ひらく くち ケイ
掲	揭	けい てへん て ケイ かかげる
渓	溪	けい たに たにがわ さんずい したみず みず ケイ
経	經	けい のり いと へる はかる キョウ たつ きん たていと いとへん きょう ケイ キン
蛍	螢	けい ほたる ケイ むし むしへん
敬		けい きょう ぼくにょう キョウ とまた うやまう のぶん ぼくづくり ケイ しぶん
景		けい ひへん ひ ケイ にちへん にち
軽	輕	けい くるま キョウ かろんじる かるい きん かろやか くるまへん きょう ケイ キン
傾		けい ひと かたむく かたげる かしげる にんべん かたぶく ひとがしら ひとやね かたむける ケイ
携		けい てへん て たずさわる たずさえる ケイ
継	繼	けい まま つぐ いと いとへん ケイ
詣		けい ことば げい まいる げん ゲン けいする ゲイ ごんべん ケイ いたる もうでる
慶		けい こころ したごころ よろこび りっしんべん ケイ
憬		けい こころ したごころ りっしんべん ケイ あこがれる
稽		けい いねへん のぎ のぎへん とどめる かんがえる ケイ いね
憩		けい こころ したごころ いこう りっしんべん いこい ケイ
警		けい ことば ゲン げん いましめる ごんべん ケイ
鶏	鷄	けい とり とりへん にわとり ケイ
芸	藝	のり わざ くさかんむり げい くさ ゲイ うん ウン うえる そうこう
迎		むかえる しんにゅう げい ゲイ しんにょう
鯨		くじら さかな げい うおへん ゲイ うお
隙		ひま キャク けき きゃく ケキ こざとへん ゲキ おか すかす すき すく げき
劇		かたな ゲキ げき りっとう
撃	擊	てへん うつ て ゲキ げき
激		はげしい さんずい したみず ゲキ みず げき
桁		コウ けた きへん き こう
欠	缺	けつ あくび ケン かく ケツ かける けん
穴		けつ ケツ あなかんむり あな
血		けつ ケツ ち
決		きめる けつ ぎめ さんずい したみず さく みず ケツ きまる
結		けつ むすぶ いと けち ゆう いとへん ゆわえる ケチ ケツ
傑		けつ ひと にんべん すぐれる ひとがしら ひとやね ケツ
潔		けつ さんずい したみず みず ケツ いさぎよい
月		げつ ゲツ つき がつ ふなづき つきへん ガツ
犬		けん ケン けものへん いぬ
件		ひと にんべん くだん ひとがしら ケン ひとやね けん
見		みる ケン みえる みせる けん
券		りっとう かたな ケン けん
肩		ニク にく ケン かた にくづき けん
建		コン えんにゅう こん えんにょう たつ いんにょう ケン だて たて たてる けん
研	硏	とぐ いしへん ケン いし けん
県	縣	よこめ ケン め めへん かける けん
倹	儉	ひと にんべん つづまやか つましい ひとがしら ケン ひとやね けん
兼		はちがしら はち かねる ケン ハチ けん
剣	劍	かたな つるぎ ケン りっとう けん
拳		こぶし てへん て げん ゲン ケン けん
軒		のき くるま ケン くるまへん けん
