鬼		き おに きにょう キ
帰	歸	きんへん き おくる きんべん はばへん かえす かえる はば とつぐ キ
基		もとい もと つちへん き つち キ
寄		き よせる うかんむり キ よる より
規		き みる キ
亀	龜	きゅう きん き キン オツ おつにょう おつ キ かめ つりばり キュウ
喜		よろこぶ くちへん き くち よろこばす キ
幾		ヨウ いく き よう いくつ いとがしら いくら キ
揮		てへん き ふるう て キ
期		ふなづき き ゴ つきへん ご つき キ
棋		き ご キ きへん
貴		かい き たっとぶ とうとぶ こがい かいへん キ たっとい とうとい
棄		き キ すてる きへん
毀		そしる るまた こぼつ こわれる き ほこ こぼれる ほこづくり キ やぶる こわす
旗		ホウ ほうへん き ほう キ はた かたへん
器	器	くちへん き くち うつわ キ
畿		みやこ き たへん キ た
輝		かがやく き くるま くるまへん キ
機		き キ はた きへん
騎		き うま うまへん キ
技		てへん て わざ ぎ ギ
宜		よろしく よろしい うかんむり ぎ ギ
偽	僞	カ にんべん ひとがしら いつわる か ひとやね ひと にせ ぎ ギ いつわり
欺		かける あくび あざむく ぎ ギ
義		ひつじへん ぎ ひつじ ギ
疑		ヒキ ひき ひきへん うたがう ぎ ギ
儀		にんべん ひとがしら ひとやね ひと ぎ ギ
戯	戲	ゲ たすき じゃれる ざれる かのほこ たわむれる げ ほこがまえ ほこ ほこづくり ぎ ギ
擬		てへん もどき て まがい ぎ ギ
犠	犧	き うしへん いけにえ うし キ ぎ ギ
議		ことば ごんべん げん ゲン ぎ ギ
菊		そうこう キク きく くさ くさかんむり
吉		よし くちへん くち キチ キツ きち きつ
喫		のむ くちへん くち キツ きつ
詰		つまる つめ ことば つめる ごんべん げん づめ ゲン キチ キツ つむ きち きつ
却		きゃく まげわりふ キャク かえって しりぞく わりふ しりぞける ふしづくり
客		かく きゃく キャク うかんむり カク
脚		かく キャ きゃく キャク きゃ にくづき あし ニク にく カク
逆		げき しんにゅう しんにょう さか ギャク さかさ ゲキ さからう ぎゃく
虐		しいたげる ギャク とらがしら とらかんむり ぎゃく
九		きゅう ここの ここのつ く ク オツ おつにょう おつ つりばり キュウ
久		きゅう ク はらいぼう ひさしい の く キュウ
及		きゅう およぶ およぼす また および キュウ
弓		きゅう ゆみ ゆみへん キュウ
丘		きゅう おか いち イチ キュウ
旧	舊	きゅう にち キュウ もと にちへん ふるい ひ ひへん
休		やすまる きゅう にんべん ひとがしら ひとやね やすむ ひと やすめる キュウ
吸		きゅう くちへん くち すう キュウ
朽		きゅう きへん き くちる キュウ
臼		きゅう グ うすづく ぐ うす キュウ
求		きゅう さんずい もとめる グ ぐ したみず みず キュウ
究		きゅう あな あなかんむり ク きわめる く キュウ
泣		きゅう さんずい したみず みず なく キュウ
急		きゅう いそぐ せく りっしんべん こころ したごころ いそぎ キュウ
級		きゅう いとへん いと キュウ
糾		きゅう いとへん ただす いと キュウ
宮		きゅう くう みや ク グウ ぐう クウ うかんむり く キュウ
救		きゅう ぼくづくり すくう ぼくにょう とまた のぶん しぶん キュウ
球		きゅう たま おうへん たまへん キュウ
給		きゅう いとへん たまう いと たまえ たもう キュウ
嗅		きゅう くちへん かぐ くち キュウ
窮		きゅう きわまる きわみ キョウ あな あなかんむり きわまり きょう きわめる キュウ
牛		うしへん ギュウ うし ぎゅう
去		む こ コ さる きょ キョ
巨		たくみへん きょ こう コウ キョ たくみ
居		おる かばねだれ いる こ かばね コ しかばね い しかばねかんむり きょ キョ
拒		てへん ご て こばむ きょ キョ ゴ
拠	據	てへん こ コ て きょ キョ よる
挙	擧	こぞる てへん あがる て あげる きょ キョ
虚	虛	むなしい こ うつろ コ とらがしら とらかんむり きょ キョ
許		もと ことば ごんべん げん ゲン ゆるす きょ キョ
距		へだたる あしへん あし きょ キョ けづめ
魚		ぎょ うお ざかな ギョ さかな うおへん
御		ぎょ ギョ ぎょうにんべん おん み お ご ゴ
漁		ぎょ さんずい ギョ あさる したみず みず リョウ りょう
凶		かんにょう キョウ うけばこ きょう
共		はち ハチ キョウ とも ども きょう ともに はちがしら
叫		さけぶ くちへん キョウ くち きょう
狂		いぬ くるおしい キョウ けものへん くるう きょう
京		みやこ けいさんかんむり きん けい ケイ キョウ キン なべぶた けさんかんむり きょう
享		けいさんかんむり キョウ うける なべぶた けさんかんむり きょう こう コウ
供		くう そなえる にんべん グ ひとがしら キョウ ぐ ひとやね ク とも ども ひと きょう クウ く
協		ジュウ キョウ じゅう きょう
況		さんずい キョウ おもむき したみず まして みず きょう いわんや
峡	峽	はざま やま キョウ やまへん きょう こう コウ
挟	挾	はさまる てへん キョウ はさむ ショウ て さしはさむ きょう しょう わきばさむ
狭	狹	せばめる さ いぬ キョウ せまい けものへん きょう こう コウ せばまる
恐		こわがる おそる おそろしい キョウ りっしんべん きょう こころ こわい したごころ おそれる
恭		うやうやしい キョウ りっしんべん きょう こころ したごころ
胸		むね むな キョウ にくづき きょう ニク にく
脅		おびやかす キョウ おどかす にくづき おどす きょう ニク にく
